Array_Size,Partition_N,Sample_Key,Found,Time_ns
20000,11,482272,Found,0
20000,11,62919,Found,0
20000,11,344448,Found,0
20000,11,657425,Found,0
20000,11,916460,Found,0
20000,13,549607,Found,0
20000,13,41264,Found,0
20000,13,239291,Found,0
20000,13,663649,Found,0
20000,13,984419,Found,0
20000,15,503214,Found,0
20000,15,69403,Found,0
20000,15,494131,Found,0
20000,15,12371,Found,0
20000,15,169291,Found,0
20000,17,897622,Found,0
20000,17,484677,Found,0
20000,17,256848,Found,0
20000,17,802079,Found,0
20000,17,883138,Found,0
20000,19,224379,Found,0
20000,19,27812,Found,0
20000,19,821489,Found,0
20000,19,564664,Found,0
20000,19,700839,Found,0
30000,2,245042,Found,0
30000,2,374773,Found,0
30000,2,69219,Found,0
30000,2,833982,Found,0
30000,2,965386,Found,0
30000,3,952863,Found,0
30000,3,48782,Found,0
30000,3,358219,Found,0
30000,3,6442,Found,0
30000,3,715817,Found,0
30000,5,441076,Found,0
30000,5,495252,Found,0
30000,5,413529,Found,0
30000,5,551705,Found,0
30000,5,705096,Found,0
30000,7,643067,Found,0
30000,7,237840,Found,0
30000,7,69180,Found,0
30000,7,219051,Found,0
30000,7,465554,Found,0
30000,9,50314,Found,0
30000,9,712179,Found,0
30000,9,736546,Found,0
30000,9,261955,Found,0
30000,9,569957,Found,0
30000,11,160389,Found,0
30000,11,656835,Found,0
30000,11,754792,Found,0
30000,11,473543,Found,0
30000,11,69816,Found,0
30000,13,345907,Found,0
30000,13,607566,Found,0
30000,13,428831,Found,0
30000,13,144347,Found,0
30000,13,494520,Found,0
30000,15,547901,Found,0
30000,15,689684,Found,0
30000,15,281424,Found,0
30000,15,705395,Found,0
30000,15,439053,Found,0
30000,17,457041,Found,0
30000,17,488688,Found,0
30000,17,511156,Found,0
30000,17,399200,Found,0
30000,17,743173,Found,0
30000,19,602067,Found,0
30000,19,806531,Found,0
30000,19,43959,Found,0
30000,19,818873,Found,0
30000,19,708594,Found,0
40000,2,308069,Found,0
40000,2,259819,Found,0
40000,2,657744,Found,0
40000,2,677744,Found,0
40000,2,78227,Found,0
40000,3,39490,Found,0
40000,3,273528,Found,0
40000,3,939921,Found,0
40000,3,369344,Found,0
40000,3,886891,Found,0
40000,5,322347,Found,0
40000,5,184878,Found,0
40000,5,748227,Found,0
40000,5,975160,Found,0
40000,5,520815,Found,0
40000,7,420230,Found,0
40000,7,737502,Found,0
40000,7,467605,Found,0
40000,7,161080,Found,0
40000,7,114459,Found,0
40000,9,929585,Found,0
40000,9,816440,Found,0
40000,9,508355,Found,0
40000,9,484211,Found,0
40000,9,834005,Found,0
40000,11,16474,Found,0
40000,11,474254,Found,0
40000,11,397779,Found,0
40000,11,977979,Found,0
40000,11,897087,Found,0
40000,13,428693,Found,0
40000,13,127593,Found,0
40000,13,17359,Found,0
40000,13,808500,Found,0
40000,13,733159,Found,0
40000,15,760587,Found,0
40000,15,339231,Found,0
40000,15,78866,Found,0
40000,15,895630,Found,0
